2020-12-07 12:31:37.918  WARN 18248 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-12-07 12:32:01.033  WARN 18248 --- [http-nio-9000-exec-1] o.i.eponceg.controller.MainController    : Se ha redireccionado al usuario a la página de inicio de sesión
2020-12-07 12:32:01.413  WARN 18248 --- [http-nio-9000-exec-3] o.s.c.s.ResourceBundleMessageSource      : ResourceBundle [config.i18n.messages] not found for MessageSource: Can't find bundle for base name config.i18n.messages, locale es_ES
2020-12-07 12:32:01.432  WARN 18248 --- [http-nio-9000-exec-8] o.i.eponceg.controller.MainController    : Se ha redireccionado al usuario a la página de inicio de sesión
2020-12-07 12:32:01.972  WARN 18248 --- [http-nio-9000-exec-1] o.i.eponceg.controller.MainController    : Se ha redireccionado al usuario a la página de inicio de sesión
2020-12-07 12:32:02.030  WARN 18248 --- [http-nio-9000-exec-4] o.s.c.s.ResourceBundleMessageSource      : ResourceBundle [config.i18n.messages] not found for MessageSource: Can't find bundle for base name config.i18n.messages, locale es_ES
2020-12-07 12:32:02.045  WARN 18248 --- [http-nio-9000-exec-6] o.i.eponceg.controller.MainController    : Se ha redireccionado al usuario a la página de inicio de sesión
2020-12-07 12:32:10.819  WARN 18248 --- [http-nio-9000-exec-3] o.s.c.s.ResourceBundleMessageSource      : ResourceBundle [config.i18n.messages] not found for MessageSource: Can't find bundle for base name config.i18n.messages, locale es_ES
2020-12-07 12:32:10.829  WARN 18248 --- [http-nio-9000-exec-4] o.i.eponceg.controller.MainController    : Se ha redireccionado al usuario a la página de inicio de sesión
2020-12-07 12:32:10.871  WARN 18248 --- [http-nio-9000-exec-2] o.s.c.s.ResourceBundleMessageSource      : ResourceBundle [config.i18n.messages] not found for MessageSource: Can't find bundle for base name config.i18n.messages, locale es_ES
2020-12-07 12:32:10.875  WARN 18248 --- [http-nio-9000-exec-9] o.i.eponceg.controller.MainController    : Se ha redireccionado al usuario a la página de inicio de sesión
2020-12-07 12:32:20.912  WARN 18248 --- [http-nio-9000-exec-7] o.i.eponceg.controller.UserController    : El usuario 24 ha entrado en la página principal de usuarios con rol paciente
2020-12-07 12:32:25.403  WARN 18248 --- [http-nio-9000-exec-9] o.i.e.controller.TreatmentController     : Los tratamientos se han mostrado en el orden predeterminado
2020-12-07 12:32:25.404  WARN 18248 --- [http-nio-9000-exec-9] o.i.e.controller.TreatmentController     : La pestaña 'Tratamientos' ha sido cargada correctamente
2020-12-07 12:34:55.023  WARN 18248 --- [http-nio-9000-exec-3] o.i.eponceg.controller.UserController    : El usuario 24 ha entrado en la página principal de usuarios con rol paciente
2020-12-07 12:35:59.531  WARN 18248 --- [http-nio-9000-exec-6] o.i.e.controller.RoutineController       : Las rutinas se han mostrado en el orden predeterminado
2020-12-07 12:42:36.242  WARN 18248 --- [http-nio-9000-exec-5] o.i.e.controller.MeasurementController   : Se ha registrado una nueva medición
2020-12-07 12:42:36.271  WARN 18248 --- [http-nio-9000-exec-4] o.i.e.controller.MeasurementController   : Se han cargado todas las mediciones de la rutinaEjercicio Diario
2020-12-07 12:44:08.528  WARN 18248 --- [http-nio-9000-exec-1] o.i.eponceg.controller.UserController    : El usuario 24 ha entrado en la página principal de usuarios con rol paciente
2020-12-07 12:46:14.429  WARN 18248 --- [http-nio-9000-exec-2] o.i.e.controller.RoutineController       : Las rutinas se han mostrado en el orden predeterminado
2020-12-07 12:47:27.206  WARN 18248 --- [http-nio-9000-exec-4] o.i.e.controller.MeasurementController   : Se han cargado todas las mediciones de la rutinaGlucosa en sangre
2020-12-07 12:52:47.407  WARN 18248 --- [http-nio-9000-exec-6] o.i.eponceg.controller.UserController    : El usuario 24 ha entrado en la página principal de usuarios con rol paciente
2020-12-07 12:53:43.339  WARN 18248 --- [http-nio-9000-exec-8] o.i.e.controller.MedicalFileController   : Se ha mostrado todos los archivos médicos del usuario 24
2020-12-07 12:55:00.382  WARN 18248 --- [http-nio-9000-exec-10] o.i.e.controller.MedicalFileController   : Se ha subido un nuevo archivo médico al perfil del usuario 24
2020-12-07 12:55:00.402  WARN 18248 --- [http-nio-9000-exec-6] o.i.e.controller.MedicalFileController   : Se ha mostrado todos los archivos médicos del usuario 24
2020-12-07 12:59:00.816  WARN 18248 --- [http-nio-9000-exec-3] o.i.eponceg.model.MedicalAppointment     : Las citas del usuario 24 han sido mostradas
2020-12-07 12:59:00.822  WARN 18248 --- [http-nio-9000-exec-3] o.i.eponceg.model.MedicalAppointment     : Las citas del usuario 24 para los próximos 30 han sido mostradas
2020-12-07 13:05:34.502  WARN 18248 --- [http-nio-9000-exec-5] o.i.eponceg.model.MedicalAppointment     : Se ha anotado una nueva cita para el usuario con id  24
2020-12-07 13:05:34.517  WARN 18248 --- [http-nio-9000-exec-3] o.i.eponceg.model.MedicalAppointment     : Las citas del usuario 24 han sido mostradas
2020-12-07 13:05:34.519  WARN 18248 --- [http-nio-9000-exec-3] o.i.eponceg.model.MedicalAppointment     : Las citas del usuario 24 para los próximos 30 han sido mostradas
